Scott," Kurt, get us all out of here! I can't! When they closed the doors, there's some kind of electric field. - It's like Berlin all over. Scott: - Jean, get into the pilots heads. - Don't let them take off! Jean: - I can't. I can't reach the pilots. I can't reach anyone. News reporter: We're also getting reports from Europe and Asia. This was not just the US phenomenon. It seems the entire world has been disarmed of nuclear weapons. The Pentagon has confirmed multiple launches from Russia, as well as the UK, Israel and China. Student 8: - Look! - Up there. News reporter: So far, there has been no response from the White House. Eye witness accounts have been pouring in from across the globe. Authorities are not sure if it was an act of peace or an act of war. Kurt: Dear Father. Hold me in the light of God. Scott: It should have been me. He was the one who's going to do something with his life. He was always the one. Jean: That's not how he felt. He felt you were the one who's going to do something special with your life. That you're going to make a difference in the world. Maybe even change it. Scott: How did you know what he felt? I know what everybody feels. Kurt: Hold me in the light of God. Protect me from danger. Save me by your command. Listen to my prayer. And keep me safe."
Charles," You're blocking me. How? Apocalypse: I can shield their minds from your power. It's one of the many gifts I have acquired through out the millennia. But to... see... inside a mind. To control it. That's your gift. You saw it, didn't you? The glory of what's to come. Charles: Are you going to take part in all this killing? Destruction?"
Erik," - It's all I ever known. Charles - No, it isn't. - You've just forgotten."
Erik," - No, Charles, I remember. Your way doesn't work. Apocalypse: I showed him a better way. A better world."
Charles," No, you just tapped into his rage and pain. That's all you've done. I told you from the moment I met you, there's more to you, Erik. There is good in you too. Erik: Whatever it is you think you saw in me, Charles. I buried it. With my family."
Peter, - What? - What? What's wrong with you? Is that going to happen to all of us?
Hank," No, I just left my meds in the house."
Moira,"- What happened? Where we are? Raven: - Hey. Hey! William: - Hello, Mystique. Raven: - Major Stryker. William: Colonel Stryker. I wouldn't get too close to the wall if I were you. It may create some... discomfort."
Moira," I'm Moira MacTaggert. I'm a senior officer at the CIA. William: I know who you are, agent MacTaggert. Moira: - You cannot keep me here in this..."
William," - Actually, I can. A psychic event just destroyed every nuke from here to Moscow. That event emanated from exactly where we found you. At the home of the world's most powerful psychic. So, you're going to tell me. Where is Charles Xavier? Moira: It's not him you should be worried about. There's someone else. Someone more powerful. Raven: If you let us out of here, we can help you. William: Do you really expect me to believe that? You can put on any face that you want, but I know who you are. What you are. Hank: Hey, Moira. Mm. What did you mean when you said someone more powerful than Charles?"
Soldier 10," Once he finished this, we'll go from there. Scott: What's taking so long? Kurt: I can't get in. It has a field around it like the helicopter. Scott: There's got to be a way to cut the power. Apocalypse: Charles, you will send a message to every living mind. You will tell them that this Earth will be laid waste. That it is I, En Sabah Nur, who wreak this upon them. Now. Deliver my message. Charles: Even if I wanted to, I couldn't reach that many people. I don't have Cerebro. Apocalypse: You don't need a machine... to amplify your powers. You have me. Scott: Guys, that could be our way out of here. Peter: You know him? Magneto. Raven: I used to. I'm not so sure anymore. Peter: What was he like? Was he... like they say he was? Was he a... ... bad guy? Raven: No. I mean, yeah. He was... Why do you care so much? Did you see his speech on TV or something? Peter: Yeah, but... He's my father. Raven: What? Peter: - He and my mom, they... Raven: - Yeah, I know. But... Are you sure? Peter: Yeah. Yeah. yeah. He left my mom before I was born. I met him 10 years back, but I didn't know it was him. By the time I figured it out, it was too late, you know. Then, this week I saw him on TV again. And, I came to their house looking for him. But, by the time I got there... Late again. You know, for a guy who moves as fast as me, I always seem to be too late. Raven: Let's hope not this time. Peter: Yeah. Seriously. Charles: Hear me, inhabitants of this world. Scott: - What is this? Charles: - This is a message. Jean: I think it's the Professor. Charles: A message to every man, woman and mutant. Apocalypse: You have lost your way. Charles: You have lost your way. Apocalypse: But I have returned. Charles: But I have returned. The day of reckoning, it is here. All your buildings... All your buildings and temples... ... will fall. The dawn of a new era will emerge. For there is nothing you can do... - Jean. - ... to stop what is coming. Jean, if you can hear me, focus on my voice. Cairo. Find us. Jean, find us. Cairo. Find us. Jean. This message is for one reason alone. Apocalypse: To tell the strongest among you... Those with the greatest power. This earth will be yours. Charles: Those with the greatest power. Protect those without. That's my message to the world. Hank: That was Charles doing that without Cerebro."
Solider," Sir, what was that voice? William: I know that voice. It's Xavier, isn't it? What's going on? Raven: - We don't know! Peter: - We don't know, bro! Jean: He just spoke to me. Scott: - I think he spoke to everyone. Kurt: - I can hear him too. Jean: No, no. He just sent me a hidden message. One he knew only I would hear. I know where they are."
